date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,yr_built,yr_renovated,street,city,statezip,country
2014-05-09 00:00:00,376000.0,3.0,2.0,1340,3.0,0,0,3,2008,0,9245-9249 Fremont Ave N,Seattle,WA 98103,USA
2014-05-09 00:00:00,800000.0,4.0,3.25,3540,2.0,0,0,3,2007,0,33001 NE 24th St,Carnation,WA 98014,USA
2014-05-09 00:00:00,2238888.0,5.0,6.5,7270,2.0,0,0,3,2010,0,7070 270th Pl SE,Issaquah,WA 98029,USA
2014-05-09 00:00:00,324000.0,3.0,2.25,998,2.0,0,0,3,2007,0,820 NW 95th St,Seattle,WA 98117,USA
2014-05-10 00:00:00,549900.0,5.0,2.75,3060,1.0,0,0,5,1979,0,10834 31st Ave SW,Seattle,WA 98146,USA
2014-05-10 00:00:00,320000.0,3.0,2.5,2130,2.0,0,0,3,2003,0,Cedar to Green River Trail,Maple Valley,WA 98038,USA
2014-05-10 00:00:00,875000.0,4.0,2.0,2520,1.0,0,0,3,1921,2007,6521 Fremont Ave N,Seattle,WA 98103,USA
2014-05-10 00:00:00,265000.0,4.0,1.0,1940,1.0,0,0,3,1962,2003,9908 S 210th Pl,Kent,WA 98031,USA
2014-05-10 00:00:00,394950.0,3.0,2.5,1350,3.0,0,0,3,2006,0,5940 California Ave SW,Seattle,WA 98136,USA
2014-05-11 00:00:00,842500.0,4.0,2.5,2160,2.5,0,0,4,1902,0,906 17th Ave,Seattle,WA 98122,USA
2014-05-11 00:00:00,368000.0,3.0,2.5,1370,2.0,0,0,3,2007,0,5411 Fauntleroy Way SW,Seattle,WA 98136,USA
2014-05-12 00:00:00,1225000.0,4.0,4.5,5420,1.0,0,0,3,2001,0,25005 NE Patterson Way,Redmond,WA 98053,USA
2014-05-12 00:00:00,885000.0,4.0,2.5,2830,2.0,0,0,3,1995,0,3503 NE 43rd St,Seattle,WA 98105,USA
2014-05-12 00:00:00,453246.0,3.0,2.5,2010,2.0,0,0,3,2014,0,2500 Mulberry Walk NE,Issaquah,WA 98029,USA
2014-05-12 00:00:00,927000.0,4.0,2.75,3300,2.0,0,0,3,1953,0,9155 NE 21st Pl,Clyde Hill,WA 98004,USA
2014-05-12 00:00:00,490000.0,2.0,2.5,1230,2.0,0,0,3,2004,2003,106 24th Ave E,Seattle,WA 98112,USA
2014-05-12 00:00:00,341000.0,3.0,1.5,1720,1.5,0,0,4,1952,0,17050 14th Avenue Northeast,Shoreline,WA 98155,USA
2014-05-12 00:00:00,235000.0,1.0,1.0,810,1.0,0,0,5,1941,0,9413 34th Ave SW,Seattle,WA 98126,USA
2014-05-12 00:00:00,1200000.0,3.0,1.75,1560,1.5,1,4,4,1928,0,3603 W Mercer Way,Mercer Island,WA 98040,USA
2014-05-12 00:00:00,560000.0,3.0,2.0,2560,1.0,0,0,3,1986,0,19211 SE 342nd St,Auburn,WA 98092,USA
2014-05-12 00:00:00,900000.0,4.0,3.25,4700,2.0,0,0,3,1978,0,3709 131st Ave NE,Bellevue,WA 98005,USA
